#ID	ra	dec	r_clust	sky_i
1237665440979353636	195.92587	28.90551	75.677	99.862
1237665428090192022	196.04261	29.01543	84.680	99.862
1237665427553583111	196.52296	28.59295	90.395	99.862
1237665428090257566	196.16158	28.97269	87.224	99.862
1237665440979288192	195.84641	28.86417	71.050	99.862
1237665440979419139	196.09451	28.81077	78.122	99.862
1237665427553189967	195.49724	28.70947	52.585	99.862
1237665428089995563	195.43325	28.99954	66.609	99.835
1237665428090257496	196.07468	29.02954	86.441	99.862
1237665440442351742	195.65895	28.50191	48.649	99.862
1237665440442548314	196.07676	28.46813	65.934	99.884
1237665441516028062	195.48264	29.32278	85.711	99.862
1237665441516290236	196.15436	29.14671	94.453	99.862
1237665441516355626	196.35525	29.29648	108.181	99.862
1237665427553124587	195.44926	28.66021	48.740	99.835
1237665427553255498	195.79057	28.58352	57.104	99.862
1237665427553321028	195.83251	28.61727	60.099	99.862
1237665427553321062	195.93682	28.54592	61.913	99.862
1237665427553321118	195.86633	28.56422	59.514	99.862
1237665428089995515	195.43072	29.04466	69.082	99.862
1237665428089995663	195.44611	29.07664	71.163	99.862
1237665428090388660	196.38690	29.01160	97.634	99.862
1237665428627193994	196.41070	29.35021	112.517	99.862
1237665440442351734	195.63318	28.43932	45.201	99.884
1237665440979222670	195.64801	28.74523	58.908	99.862
1237665440979288199	195.84412	28.79652	67.958	99.862
1237665440979484734	196.26058	28.73900	82.525	99.862
1237665441516290101	196.24326	29.12224	96.569	99.862
1237665441516290234	196.16221	29.22487	98.263	99.862
1237665427553386581	196.14897	28.62774	73.964	99.862
1237665427553386633	196.05470	28.54245	67.059	99.862
1237665427553452095	196.20529	28.66120	77.543	99.862
1237665427553452110	196.27757	28.64117	80.185	99.862
1237665427553452138	196.31411	28.62644	81.430	99.862
1237665427553452170	196.32314	28.58274	80.628	99.862
1237665428090191940	195.88929	29.06049	81.636	99.862
1237665428090388503	196.43896	28.87134	94.744	99.862
1237665440442351685	195.54642	28.45661	42.429	99.884
1237665440442417214	195.71351	28.48244	50.131	99.862
1237665440442417243	195.79098	28.48961	53.666	99.884
1237665440979157097	195.51843	28.89458	62.763	99.862
1237665440979222567	195.60686	28.85806	63.202	99.862
1237665440979550284	196.52687	28.70176	93.437	99.862
1237665441516027964	195.51750	29.25345	82.408	99.862
1237665441516028047	195.43053	29.17836	76.628	99.835
1237665441516355719	196.33155	29.19744	103.030	99.862
1237665441516421146	196.49848	29.27882	112.680	99.862
1237667323261157453	195.63645	27.29556	53.826	99.905
1237667323261157385	195.65564	27.17614	60.017	99.905
1237667323798159536	196.05780	27.56009	62.910	99.905
1237667323798225112	196.26376	27.53705	73.588	99.884
1237667442438373472	195.64832	26.66224	86.375	99.905
